                                                                 importance    stddev       p_value  n      p99_high       p99_low
ds_input_count                                                 9.378067e-01  0.005154  1.094529e-10  5  9.484185e-01  9.271949e-01
operator_name                                                  6.056874e-01  0.007118  2.287948e-09  5  6.203427e-01  5.910322e-01
op_audio_nmf_snr_filter_min_snr                                5.004132e-01  0.011704  3.588015e-08  5  5.245114e-01  4.763149e-01
op_audio_nmf_snr_filter_any_or_all                             3.503177e-01  0.009229  5.774699e-08  5  3.693202e-01  3.313153e-01
ds_scale_mb                                                    2.460817e-01  0.002114  6.538737e-10  5  2.504351e-01  2.417283e-01
op_process_number                                              1.247925e-01  0.002134  1.026607e-08  5  1.291873e-01  1.203976e-01
pipeline_base_name                                             8.350308e-02  0.000741  7.455333e-10  5  8.502957e-02  8.197659e-02
operator_index                                                 6.604804e-02  0.001183  1.232538e-08  5  6.848288e-02  6.361320e-02
op_image_size_filter_max_size                                  6.351687e-02  0.002460  2.694721e-07  5  6.858209e-02  5.845164e-02
op_text_entity_dependency_filter_any_or_all                    5.800795e-02  0.002653  5.232046e-07  5  6.346958e-02  5.254633e-02
op_audio_nmf_snr_filter_snr_max                                5.675952e-02  0.000754  3.742377e-09  5  5.831268e-02  5.520637e-02
env_cpu_util                                                   5.019824e-02  0.001283  5.123016e-08  5  5.284082e-02  4.755566e-02
op_type_audio_nmf_snr_filter                                   4.163500e-02  0.000377  8.082485e-10  5  4.241164e-02  4.085836e-02
op_audio_size_filter_any_or_all                                3.937522e-02  0.000769  1.748254e-08  5  4.095936e-02  3.779108e-02
op_type_image_detection_yolo_mapper                            3.559051e-02  0.001727  6.625940e-07  5  3.914560e-02  3.203542e-02
env_mem_util                                                   3.536948e-02  0.000843  3.866021e-08  5  3.710484e-02  3.363411e-02
env_gpu_mem_util                                               3.288441e-02  0.000529  8.048283e-09  5  3.397414e-02  3.179468e-02
op_audio_ffmpeg_wrapped_mapper_filter_kwargs                   3.027399e-02  0.002276  3.801749e-06  5  3.495937e-02  2.558860e-02
op_type_image_remove_background_mapper                         2.743737e-02  0.001551  1.220749e-06  5  3.063130e-02  2.424345e-02
ds_scale_label                                                 2.736884e-02  0.000217  4.741264e-10  5  2.781563e-02  2.692205e-02
profile_audio_channels_n                                       2.664674e-02  0.000577  2.633675e-08  5  2.783446e-02  2.545901e-02
op_image_aspect_ratio_filter_max_ratio                         2.345526e-02  0.000455  1.691566e-08  5  2.439116e-02  2.251936e-02
op_text_action_filter_lang                                     2.205380e-02  0.001419  2.043092e-06  5  2.497471e-02  1.913290e-02
op_image_tagging_mapper_local_files_only                       2.189554e-02  0.000416  1.556260e-08  5  2.275118e-02  2.103990e-02
op_token_num_filter_max_num                                    1.504070e-02  0.000867  1.317216e-06  5  1.682524e-02  1.325616e-02
op_type_image_deduplicator                                     1.417530e-02  0.000319  3.081227e-08  5  1.483243e-02  1.351817e-02
op_audio_duration_filter_max_duration                          1.244888e-02  0.000503  3.200180e-07  5  1.348527e-02  1.141248e-02
op_stopwords_filter_tokenization                               1.123976e-02  0.000451  3.102813e-07  5  1.216828e-02  1.031123e-02
op_image_face_ratio_filter_max_ratio                           1.117009e-02  0.001043  9.007965e-06  5  1.331711e-02  9.023081e-03
op_audio_duration_filter_min_duration                          1.059286e-02  0.000467  4.516061e-07  5  1.155414e-02  9.631585e-03
pipeline_name                                                  1.040489e-02  0.000213  2.108699e-08  5  1.084359e-02  9.966194e-03
ds_type                                                        1.001206e-02  0.000192  1.608023e-08  5  1.040653e-02  9.617592e-03
