level,ds_type,chunk_size,pipeline_category,pipeline_base_name,operator_name,row_count,sample_count,skipped_count,rmse,mae,mape,accuracy,actual_time_sum,pred_time_sum
overall,,,,,,36659,36659,0,4.177186144855649,1.1485819672013744,24.26130896953063,75.73869103046937,126183.368,149614.4069107771
by_ds_type,audio,,,,,4235,4235,0,12.076702077453355,6.5600000750851315,57.44709750282792,42.55290249717208,58927.743,83254.55736589432
by_ds_type,image,,,,,21804,21804,0,0.9710170460353986,0.540982654672438,23.328869973429786,76.67113002657021,48141.55099999999,45867.87919151783
by_ds_type,text,,,,,10620,10620,0,0.36814037591436233,0.2381054816545964,12.942013812512627,87.05798618748737,19114.074,20491.970353364944
by_chunk_size,,100.0,,,,20341,20341,0,4.906900785117309,1.2964457408853363,26.54201275633055,73.45798724366945,50962.691,70711.40501987934
by_chunk_size,,200.0,,,,10176,10176,0,3.0504363104757037,0.9940771483253198,22.805636518235044,77.19436348176495,34285.151999999995,39290.123475670815
by_chunk_size,,500.0,,,,4091,4091,0,1.921576519230842,0.7467924434167194,19.456085742801992,80.54391425719801,22654.683,22805.501185774803
by_chunk_size,,1000.0,,,,2051,2051,0,4.421672398552691,1.2501250964945436,18.44916628675817,81.55083371324183,18280.841999999997,16807.377229452133
by_ds_type_chunk_size,audio,100.0,,,,2343,2343,0,14.309293732960624,8.19183503810412,76.6525697439961,23.347430256003904,17664.31,36591.312586307526
by_ds_type_chunk_size,audio,200.0,,,,1177,1177,0,8.715011534902306,5.044281267491861,42.52740216524475,57.47259783475525,14963.079,20761.77391719818
by_ds_type_chunk_size,audio,500.0,,,,473,473,0,5.139408222819237,2.6620382382552163,21.22931786643996,78.77068213356004,13401.372,13996.411576509476
by_ds_type_chunk_size,audio,1000.0,,,,242,242,0,12.20172204206106,5.751519360227033,14.856476508157815,85.14352349184219,12898.982000000002,11905.059285879135
by_ds_type_chunk_size,image,100.0,,,,12098,12098,0,0.8715708304929644,0.47466456316246197,23.241762204021637,76.75823779597836,22884.233999999997,22925.82935810089
by_ds_type_chunk_size,image,200.0,,,,6049,6049,0,0.8995338904141944,0.5780249436842467,24.096528713698483,75.90347128630151,13924.289,12795.008222103119
by_ds_type_chunk_size,image,500.0,,,,2438,2438,0,1.0061418880483937,0.6236420425410345,22.50456250505371,77.49543749494629,7057.963,6444.380624294281
by_ds_type_chunk_size,image,1000.0,,,,1219,1219,0,1.8127472414152213,0.8500260322209358,22.03266298599361,77.96733701400639,4275.0650000000005,3702.660987019539
by_ds_type_chunk_size,text,100.0,,,,5900,5900,0,0.3752687560079038,0.24322736202223827,13.409368037641181,86.59063196235881,10414.147,11194.263075470924
by_ds_type_chunk_size,text,200.0,,,,2950,2950,0,0.36817489136759923,0.23123292378797372,12.290000905730382,87.70999909426962,5397.784,5733.3413363695145
by_ds_type_chunk_size,text,500.0,,,,1180,1180,0,0.3495826848639992,0.23351228780342362,12.44682714886092,87.55317285113908,2195.348,2364.7089849710464
by_ds_type_chunk_size,text,1000.0,,,,590,590,0,0.33022083848882966,0.2304358550136372,12.518909422441698,87.4810905775583,1106.795,1199.6569565534592
by_pipeline_category,audio,,filter-heavy,,,1540,1540,0,12.708751316880845,6.465575957108783,61.48509556058337,38.51490443941663,15001.672999999999,24443.170632600784
by_pipeline_category,audio,,mapper-heavy,,,1155,1155,0,12.077397797665386,7.873031469092431,76.68423757353665,23.31576242646335,24008.415999999997,31389.907306671143
by_pipeline_category,audio,,mixed,,,1540,1540,0,11.409141191570765,5.669650647556008,38.981244392040935,61.018755607959065,19917.654000000002,27421.47942662239
by_pipeline_category,image,,filter-heavy,,,7584,7584,0,0.445032157442459,0.2621236392587801,19.186310984771936,80.81368901522806,9015.544,10014.856917500496
by_pipeline_category,image,,mapper-heavy,,,6636,6636,0,1.4968054157524953,0.9321618937371078,27.850458835505073,72.14954116449493,25171.148,23128.214861392975
by_pipeline_category,image,,mixed,,,7584,7584,0,0.7431932998264182,0.4775598359045097,23.515038707771772,76.48496129222823,13954.859,12724.80741262436
by_pipeline_category,text,,filter-heavy,,,4140,4140,0,0.3020811366853193,0.17766799008005482,7.770582621956012,92.22941737804399,8812.524000000001,8686.884588718414
