level,ds_type,chunk_size,pipeline_category,pipeline_base_name,operator_name,row_count,sample_count,skipped_count,rmse,mae,mape,accuracy,actual_time_sum,pred_time_sum
overall,,,,,,36659,36659,0,5.844343016885257,1.0545378817737636,22.4239867114715,77.5760132885285,126183.368,107778.9349642396
by_ds_type,audio,,,,,4235,4235,0,16.89901577272378,5.119239441298088,36.15468112057446,63.84531887942554,58927.743,47109.170094013214
by_ds_type,image,,,,,21804,21804,0,1.340181632321612,0.5721698592145867,18.8858755473985,81.1141244526015,48141.55099999999,38989.02210146189
by_ds_type,text,,,,,10620,10620,0,0.5788257404871404,0.42398621127421354,24.212638782930693,75.7873612170693,19114.074,21680.742768764496
by_chunk_size,,100.0,,,,20341,20341,0,1.4808294525719747,0.6375719511457075,21.65658475026547,78.34341524973453,50962.691,51045.15726815164
by_chunk_size,,200.0,,,,10176,10176,0,2.3352443735623902,0.8679820104154213,22.207339903476285,77.79266009652372,34285.151999999995,29766.39758360386
by_chunk_size,,500.0,,,,4091,4091,0,8.041826327378853,1.9625543712104514,23.729716234132653,76.27028376586735,22654.683,16432.24742424488
by_chunk_size,,1000.0,,,,2051,2051,0,20.801471377869355,4.304270248210761,28.505206474438044,71.49479352556196,18280.841999999997,10535.132688239217
by_ds_type_chunk_size,audio,100.0,,,,2343,2343,0,3.4755018716692367,2.1446977389397097,41.00481991602407,58.99518008397593,17664.31,20707.07852578163
by_ds_type_chunk_size,audio,200.0,,,,1177,1177,0,6.0406460793803,3.220957191864312,31.722029336144065,68.27797066385594,14963.079,12477.504544496536
by_ds_type_chunk_size,audio,500.0,,,,473,473,0,23.296828541283006,11.824641394556702,28.090253076946226,71.90974692305377,13401.372,8180.896830797195
by_ds_type_chunk_size,audio,1000.0,,,,242,242,0,60.35196377556614,30.044753045917542,26.51761672872441,73.4823832712756,12898.982000000002,5743.690192937851
by_ds_type_chunk_size,image,100.0,,,,12098,12098,0,1.0991393235232036,0.4700041406336826,17.81292625436948,82.18707374563053,22884.233999999997,18852.15189896524
by_ds_type_chunk_size,image,200.0,,,,6049,6049,0,1.377375841816985,0.6128836237309412,18.776632114097467,81.22336788590253,13924.289,11111.809723258018
by_ds_type_chunk_size,image,500.0,,,,2438,2438,0,1.7372552962837984,0.7607075171869636,20.505012543679875,79.49498745632013,7057.963,5624.281582951546
by_ds_type_chunk_size,image,1000.0,,,,1219,1219,0,2.164716023162915,1.0070086546991572,26.838211952787415,73.16178804721258,4275.0650000000005,3400.7788962870836
by_ds_type_chunk_size,text,100.0,,,,5900,5900,0,0.5348589698314145,0.38266341737844184,21.854494155346366,78.14550584465363,10414.147,11485.92684340477
by_ds_type_chunk_size,text,200.0,,,,2950,2950,0,0.6021090765745416,0.45226619769985393,25.445835481680525,74.55416451831948,5397.784,6177.083315849304
by_ds_type_chunk_size,text,500.0,,,,1180,1180,0,0.6469291938728028,0.4924996831312018,28.644371887245395,71.3556281127546,2195.348,2627.0690104961395
by_ds_type_chunk_size,text,1000.0,,,,590,590,0,0.7212861020291969,0.5587872743897518,32.76463535639535,67.23536464360464,1106.795,1390.6635990142822
by_pipeline_category,audio,,filter-heavy,,,1540,1540,0,9.83507867060467,3.6353161348739222,45.18705892343349,54.81294107656651,15001.672999999999,14489.523795127869
by_pipeline_category,audio,,mapper-heavy,,,1155,1155,0,24.785480612431154,8.188664977515415,49.282416966159396,50.717583033840604,24008.415999999997,16940.270604610443
by_pipeline_category,audio,,mixed,,,1540,1540,0,15.095271093614919,4.301093595559257,17.27650143352673,82.72349856647327,19917.654000000002,15679.375694274902
by_pipeline_category,image,,filter-heavy,,,7584,7584,0,0.3250985416490567,0.16440993106151433,13.468116285162184,86.53188371483782,9015.544,9240.75648868084
by_pipeline_category,image,,mapper-heavy,,,6636,6636,0,2.276552374097192,1.1984806385300404,25.373453040042353,74.62654695995765,25171.148,18106.961061120033
by_pipeline_category,image,,mixed,,,7584,7584,0,0.7233298950659898,0.4319078554666369,18.627004503571456,81.37299549642854,13954.859,11641.304551661015
by_pipeline_category,text,,filter-heavy,,,4140,4140,0,0.5528646850541841,0.37951966249793045,16.06752830458873,83.93247169541127,8812.524000000001,9048.15287911892
by_pipeline_category,text,,mapper-heavy,,,2880,2880,0,0.689093302025242,0.6008834939214919,37.52469458314829,62.47530541685171,5299.902,6741.76482963562
