ds_type,pipeline_category,chunk_size,pipeline_count,operator_count,chunk_parts,full_actual_time,full_pred_time,chunk_actual_time,chunk_pred_time,chunk_pred_abs_error,chunk_actual_abs_error,full_pred_abs_error,chunk_pred_mape,chunk_actual_mape,full_pred_mape,chunk_pred_accuracy,chunk_actual_accuracy,full_pred_accuracy
audio,filter-heavy,100,1,4,852,2892.0310000000004,1386.9987812042236,4722.846,7900.655563831329,5008.6245638313285,1830.8149999999991,1505.0322187957768,173.18709805777766,63.305510902199835,52.040666880672326,-73.18709805777766,36.694489097800165,47.959333119327674
audio,filter-heavy,200,1,4,428,2892.0310000000004,1386.9987812042236,3795.616,4328.584780454636,1436.5537804546352,903.5849999999996,1505.0322187957768,49.67283478132271,31.24395969476121,52.040666880672326,50.32716521867729,68.7560403052388,47.959333119327674
audio,filter-heavy,500,1,4,172,2892.0310000000004,1386.9987812042236,3355.197,2483.795769929886,408.23523007011454,463.1659999999997,1505.0322187957768,14.115866326125637,16.01525018231131,52.040666880672326,85.88413367387436,83.9847498176887,47.959333119327674
audio,filter-heavy,1000,1,4,88,2892.0310000000004,1386.9987812042236,3128.014,1697.6749577522278,1194.3560422477726,235.98299999999972,1505.0322187957768,41.298175650529764,8.159767305398859,52.040666880672326,58.701824349470236,91.84023269460114,47.959333119327674
audio,mapper-heavy,100,1,3,639,5020.214,2093.4436416625977,6831.046,8177.30601644516,3157.09201644516,1810.8320000000003,2926.7703583374023,62.88759834630875,36.07081291753699,58.299713086681216,37.11240165369125,63.92918708246301,41.700286913318784
audio,mapper-heavy,200,1,3,321,5020.214,2093.4436416625977,6077.365,5193.396389007568,173.18238900756842,1057.1509999999998,2926.7703583374023,3.44970132762405,21.057887173734024,58.299713086681216,96.55029867237594,78.94211282626597,41.700286913318784
audio,mapper-heavy,500,1,3,129,5020.214,2093.4436416625977,5615.635,3098.645733356476,1921.568266643524,595.4210000000003,2926.7703583374023,38.276620611064075,11.860470489903424,58.299713086681216,61.723379388935925,88.13952951009658,41.700286913318784
audio,mapper-heavy,1000,1,3,66,5020.214,2093.4436416625977,5484.370000000001,2054.372489929199,2965.8415100708007,464.15600000000086,2926.7703583374023,59.0779897046381,9.245741317003635,58.299713086681216,40.9220102953619,90.75425868299637,41.700286913318784
audio,mixed,100,1,4,852,3864.232,1528.8202686309814,6110.418,8478.520883083344,4614.2888830833435,2246.1859999999997,2335.4117313690185,119.41024459927208,58.127617596459004,60.436633498429146,-19.410244599272076,41.872382403540996,39.563366501570854
audio,mixed,200,1,4,428,3864.232,1528.8202686309814,5090.098000000001,4576.168597459793,711.9365974597931,1225.866000000001,2335.4117313690185,18.423753994578824,31.723405841057183,60.436633498429146,81.57624600542118,68.27659415894281,39.563366501570854
audio,mixed,500,1,4,172,3864.232,1528.8202686309814,4430.54,2993.651992082596,870.5800079174041,566.308,2335.4117313690185,22.529185823144264,14.655124226495717,60.436633498429146,77.47081417685574,85.34487577350428,39.563366501570854
audio,mixed,1000,1,4,88,3864.232,1528.8202686309814,4286.598,1960.3857417106628,1903.8462582893371,422.366,2335.4117313690185,49.2684253504794,10.930140840405027,60.436633498429146,50.7315746495206,89.06985915959497,39.563366501570854
image,filter-heavy,100,1,8,4208,55.565999999999995,57.08144676685333,4903.845,5028.184049844742,4972.618049844742,4848.279,1.5154467668533371,8949.030072066987,8725.261850772056,2.727291449543493,-8849.030072066987,-8625.261850772056,97.27270855045651
image,filter-heavy,200,1,8,2104,55.565999999999995,57.08144676685333,2440.197,2487.6532443761826,2432.0872443761828,2384.6310000000003,1.5154467668533371,4376.934176251993,4291.528992549402,2.727291449543493,-4276.934176251993,-4191.528992549402,97.27270855045651
image,filter-heavy,500,1,8,848,55.565999999999995,57.08144676685333,1049.777,1057.5008255243301,1001.9348255243301,994.211,1.5154467668533371,1803.1436949291474,1789.2434222366198,2.727291449543493,-1703.1436949291474,-1689.2434222366198,97.27270855045651
image,filter-heavy,1000,1,8,424,55.565999999999995,57.08144676685333,621.725,667.418368935585,611.852368935585,566.159,1.5154467668533371,1101.1272521606468,1018.8946478062124,2.727291449543493,-1001.1272521606468,-918.8946478062124,97.27270855045651
image,mapper-heavy,100,1,7,3682,202.44,243.04808592796326,10660.338,7553.298879146576,7350.858879146576,10457.898,40.60808592796326,3631.1296577487533,5165.924718435092,20.05931926890104,-3531.1296577487533,-5065.924718435092,79.94068073109896
image,mapper-heavy,200,1,7,1841,202.44,243.04808592796326,7503.132,5346.934631228447,5144.494631228447,7300.692,40.60808592796326,2541.2441371411023,3606.3485477178424,20.05931926890104,-2441.2441371411023,-3506.3485477178424,79.94068073109896
image,mapper-heavy,500,1,7,742,202.44,243.04808592796326,4349.705,3214.5775742530823,3012.137574253082,4147.265,40.60808592796326,1487.9162093722005,2048.6391029440824,20.05931926890104,-1387.9162093722005,-1948.6391029440824,79.94068073109896
image,mapper-heavy,1000,1,7,371,202.44,243.04808592796326,2657.973,1992.149976491928,1789.709976491928,2455.533,40.60808592796326,884.0693422702667,1212.9682868998223,20.05931926890104,-784.0693422702667,-1112.9682868998223,79.94068073109896
image,mixed,100,1,8,4208,82.44,91.60030102729797,7320.0509999999995,6270.668969973922,6188.228969973922,7237.611,9.160301027297976,7506.342758338092,8779.246724890829,11.111476258245968,-7406.342758338092,-8679.246724890829,88.88852374175403
image,mixed,200,1,8,2104,82.44,91.60030102729797,3980.96,3277.221847653389,3194.781847653389,3898.52,9.160301027297976,3875.281231991011,4728.918000970402,11.111476258245968,-3775.281231991011,-4628.918000970402,88.88852374175403
image,mixed,500,1,8,848,82.44,91.60030102729797,1658.481,1352.2031831741333,1269.7631831741332,1576.041,9.160301027297976,1540.2270538259745,1911.7430858806404,11.111476258245968,-1440.2270538259745,-1811.7430858806404,88.88852374175403
image,mixed,1000,1,8,424,82.44,91.60030102729797,995.367,741.2105508595705,658.7705508595704,912.9269999999999,9.160301027297976,799.0909156472228,1107.3835516739446,11.111476258245968,-699.0909156472228,-1007.3835516739446,88.88852374175403
text,filter-heavy,100,1,23,2300,56.175,105.77400124073029,4846.589,4791.254880070686,4735.079880070686,4790.414,49.59900124073029,8429.158665012348,8527.661771250558,88.29372717530983,-8329.158665012348,-8427.661771250558,11.706272824690174
text,filter-heavy,200,1,23,1150,56.175,105.77400124073029,2477.788,2575.911192178726,2519.736192178726,2421.613,49.59900124073029,4485.511690571831,4310.837561192701,88.29372717530983,-4385.511690571831,-4210.837561192701,11.706272824690174
text,filter-heavy,500,1,23,460,56.175,105.77400124073029,994.977,1097.0114600658417,1040.8364600658417,938.802,49.59900124073029,1852.8463908604217,1671.2096128170895,88.29372717530983,-1752.8463908604217,-1571.2096128170895,11.706272824690174
text,filter-heavy,1000,1,23,230,56.175,105.77400124073029,493.17,583.9753468036652,527.8003468036652,436.995,49.59900124073029,939.5644802913489,777.917222963952,88.29372717530983,-839.5644802913489,-677.917222963952,11.706272824690174
text,mapper-heavy,100,1,16,1600,38.453,81.46523237228394,2809.3830000000003,3537.7594788074493,3499.3064788074494,2770.9300000000003,43.01223237228393,9100.217093094036,7206.017735937378,111.85663634120597,-9000.217093094036,-7106.017735937378,-11.85663634120597
text,mapper-heavy,200,1,16,800,38.453,81.46523237228394,1540.504,1929.59290933609,1891.13990933609,1502.051,43.01223237228393,4918.055572610954,3906.199776350349,111.85663634120597,-4818.055572610954,-3806.199776350349,-11.85663634120597
text,mapper-heavy,500,1,16,320,38.453,81.46523237228394,632.426,832.8308510780334,794.3778510780335,593.9730000000001,43.01223237228393,2065.841029511438,1544.6727173432503,111.85663634120597,-1965.8410295114381,-1444.6727173432503,-11.85663634120597
text,mapper-heavy,1000,1,16,160,38.453,81.46523237228394,317.589,441.58159041404724,403.12859041404727,279.13599999999997,43.01223237228393,1048.3670725666325,725.9147530751825,111.85663634120597,-948.3670725666325,-625.9147530751825,-11.85663634120597
text,mixed,100,1,20,2000,50.555,73.30553543567657,2758.175,3156.912484526634,3106.3574845266344,2707.6200000000003,22.750535435676575,6144.510898084531,5355.790722974979,45.0015536261034,-6044.510898084531,-5255.790722974979,54.9984463738966
text,mixed,200,1,20,1000,50.555,73.30553543567657,1379.492,1671.579214334488,1621.0242143344879,1328.937,22.750535435676575,3206.4567586479834,2628.6954801701113,45.0015536261034,-3106.4567586479834,-2528.6954801701113,54.9984463738966
text,mixed,500,1,20,400,50.555,73.30553543567657,567.945,697.2266993522644,646.6716993522645,517.3900000000001,22.750535435676575,1279.1448904208573,1023.4200375828309,45.0015536261034,-1179.1448904208573,-923.4200375828309,54.9984463738966
text,mixed,1000,1,20,200,50.555,73.30553543567657,296.036,365.1066617965698,314.5516617965698,245.481,22.750535435676575,622.1969375859358,485.5721491444961,45.0015536261034,-522.1969375859358,-385.5721491444961,54.9984463738966
