ds_type,chunk_size,pipeline_count,operator_count,chunk_parts,full_actual_time,full_pred_time,chunk_actual_time,chunk_pred_time,mean_chunk_actual_relative_error,mean_chunk_pred_relative_error,mean_full_pred_relative_error,chunk_actual_abs_error,chunk_pred_abs_error,full_pred_abs_error,chunk_actual_mape,chunk_pred_mape,full_pred_mape,chunk_actual_accuracy,chunk_pred_accuracy,full_pred_accuracy
audio,100,3,11,2343,11776.477,8822.494727134705,17664.309999999998,36591.312586307526,0.5250131380539861,2.237217030382214,0.2520481365125922,5887.832999999997,24814.835586307527,2953.982272865296,49.99655669518139,210.7152723714191,25.083751896813418,50.00344330481861,-110.7152723714191,74.91624810318658
audio,200,3,11,1177,11776.477,8822.494727134705,14963.079000000002,20761.77391719818,0.280084175698508,0.8060951375736817,0.2520481365125922,3186.6020000000008,8985.29691719818,2953.982272865296,27.059043209611843,76.29868352987214,25.083751896813418,72.94095679038816,23.701316470127864,74.91624810318658
audio,500,3,11,473,11776.477,8822.494727134705,13401.372,13996.411576509476,0.1417694829957015,0.20462198373425597,0.2520481365125922,1624.8949999999986,2219.934576509475,2953.982272865296,13.79780217801978,18.85058304371906,25.083751896813418,86.20219782198022,81.14941695628094,74.91624810318658
audio,1000,3,11,242,11776.477,8822.494727134705,12898.982,11905.059285879135,0.09445216487602508,0.034216474199065296,0.2520481365125922,1122.5049999999992,128.58228587913436,2953.982272865296,9.531755549643574,1.0918569779326563,25.083751896813418,90.46824445035642,98.90814302206735,74.91624810318658
image,100,3,23,12098,340.44599999999997,297.9238181114197,22884.234,22925.82935810089,75.5681109803266,77.86623772643486,0.10581701976494433,22543.788,22585.38335810089,42.52218188858029,6621.839586894839,6634.057488735627,12.49013996010536,-6521.839586894839,-6534.057488735627,87.50986003989465
image,200,3,23,6049,340.44599999999997,297.9238181114197,13924.289,12795.008222103119,42.08931847079216,39.771359540177954,0.10581701976494433,13583.843,12454.562222103119,42.52218188858029,3990.013981659353,3658.3076969925096,12.49013996010536,-3890.013981659353,-3558.3076969925096,87.50986003989465
image,500,3,23,2438,340.44599999999997,297.9238181114197,7057.963,6444.380624294281,19.16541870353781,17.94069013721078,0.10581701976494433,6717.517,6103.934624294281,42.52218188858029,1973.151982987023,1792.9229963912871,12.49013996010536,-1873.151982987023,-1692.9229963912871,87.50986003989465
image,1000,3,23,1219,340.44599999999997,297.9238181114197,4275.065,3702.660987019539,11.130821621266598,10.032760753957136,0.10581701976494433,3934.6189999999997,3362.214987019539,42.52218188858029,1155.724843293797,987.5912735116698,12.49013996010536,-1055.724843293797,-887.5912735116698,87.50986003989465
text,100,3,59,5900,145.183,140.516765832901,10414.147,11194.263075470924,70.29823410054304,76.46978313939769,0.10819421812426343,10268.964,11049.080075470923,4.666234167098992,7073.1173760013235,7610.450311311189,3.21403619369967,-6973.1173760013235,-7510.450311311189,96.78596380630033
text,200,3,59,2950,145.183,140.516765832901,5397.784,5733.3413363695145,36.152442725710536,38.81021948533837,0.10819421812426343,5252.601,5588.1583363695145,4.666234167098992,3617.917387021897,3849.0445412820472,3.21403619369967,-3517.917387021897,-3749.0445412820472,96.78596380630033
text,500,3,59,1180,145.183,140.516765832901,2195.348,2364.7089849710464,14.131007892477236,15.460129612075507,0.10819421812426343,2050.165,2219.5259849710465,4.666234167098992,1412.1246977951964,1528.7781523808205,3.21403619369967,-1312.1246977951964,-1428.7781523808205,96.78596380630033
text,1000,3,59,590,145.183,140.516765832901,1106.795,1199.6569565534592,6.631347083945435,7.350921265598043,0.10819421812426343,961.6120000000001,1054.4739565534592,4.666234167098992,662.3447648829409,726.3067690800294,3.21403619369967,-562.3447648829409,-626.3067690800294,96.78596380630033
