ds_type,chunk_size,pipeline_count,operator_count,chunk_parts,full_actual_time,full_pred_time,chunk_actual_time,chunk_pred_time,mean_chunk_actual_relative_error,mean_chunk_pred_relative_error,mean_full_pred_relative_error,chunk_actual_abs_error,chunk_pred_abs_error,full_pred_abs_error,chunk_actual_mape,chunk_pred_mape,full_pred_mape,chunk_actual_accuracy,chunk_pred_accuracy,full_pred_accuracy
audio,100,3,11,2343,11776.477,5009.262691497803,17664.309999999998,24556.482463359833,0.5250131380539861,1.1849498033445283,0.5692567115526089,5887.832999999997,12780.005463359832,6767.214308502198,49.99655669518139,108.52146582853115,57.463826478005245,50.00344330481861,-8.521465828531149,42.536173521994755
audio,200,3,11,1177,11776.477,5009.262691497803,14963.079000000002,14098.149766921997,0.280084175698508,0.2384876336784186,0.5692567115526089,3186.6020000000008,2321.6727669219963,6767.214308502198,27.059043209611843,19.714493281156972,57.463826478005245,72.94095679038816,80.28550671884302,42.536173521994755
audio,500,3,11,473,11776.477,5009.262691497803,13401.372,8576.093495368958,0.1417694829957015,0.24973890920111322,0.5692567115526089,1624.8949999999986,3200.3835046310433,6767.214308502198,13.79780217801978,27.176068909496813,57.463826478005245,86.20219782198022,72.82393109050318,42.536173521994755
audio,1000,3,11,242,11776.477,5009.262691497803,12898.982,5712.43318939209,0.09445216487602508,0.49881530235215754,0.5692567115526089,1122.5049999999992,6064.043810607911,6767.214308502198,9.531755549643574,51.492851475088095,57.463826478005245,90.46824445035642,48.507148524911905,42.536173521994755
image,100,3,23,12098,340.44599999999997,391.72983372211456,22884.234,16848.87540125847,75.5681109803266,59.521195900072094,0.112993623255635,22543.788,16508.42940125847,51.28383372211459,6621.839586894839,4849.0595869120125,15.063720449679128,-6521.839586894839,-4749.0595869120125,84.93627955032088
image,200,3,23,6049,340.44599999999997,391.72983372211456,13924.289,9675.476179897785,42.08931847079216,31.502504796292936,0.112993623255635,13583.843,9335.030179897785,51.28383372211459,3990.013981659353,2742.000252579788,15.063720449679128,-3890.013981659353,-2642.000252579788,84.93627955032088
image,500,3,23,2438,340.44599999999997,391.72983372211456,7057.963,4680.090850144625,19.16541870353781,13.60067009743708,0.112993623255635,6717.517,4339.644850144625,51.28383372211459,1973.151982987023,1274.6940337512044,15.063720449679128,-1873.151982987023,-1174.6940337512044,84.93627955032088
image,1000,3,23,1219,340.44599999999997,391.72983372211456,4275.065,2769.605744317174,11.130821621266598,7.639105326444646,0.112993623255635,3934.6189999999997,2429.159744317174,51.28383372211459,1155.724843293797,713.522774336363,15.063720449679128,-1055.724843293797,-613.522774336363,84.93627955032088
text,100,3,59,5900,145.183,260.5447690486908,10414.147,16413.658255815506,70.29823410054304,113.6613152719908,0.8171730571420639,10268.964,16268.475255815505,115.3617690486908,7073.1173760013235,11205.495998715764,79.45955728197572,-6973.1173760013235,-11105.495998715764,20.54044271802428
text,200,3,59,2950,145.183,260.5447690486908,5397.784,8789.965205430984,36.152442725710536,60.4571433273735,0.8171730571420639,5252.601,8644.782205430984,115.3617690486908,3617.917387021897,5954.403894003419,79.45955728197572,-3517.917387021897,-5854.403894003419,20.54044271802428
text,500,3,59,1180,145.183,260.5447690486908,2195.348,3690.540689468384,14.131007892477236,24.828953104394184,0.8171730571420639,2050.165,3545.357689468384,115.3617690486908,1412.1246977951964,2441.992305895583,79.45955728197572,-1312.1246977951964,-2341.992305895583,20.54044271802428
text,1000,3,59,590,145.183,260.5447690486908,1106.795,1940.680782675743,6.631347083945435,12.579293398427785,0.8171730571420639,961.6120000000001,1795.497782675743,115.3617690486908,662.3447648829409,1236.7135151331377,79.45955728197572,-562.3447648829409,-1136.7135151331377,20.54044271802428
