ds_type,chunk_size,pipeline_count,operator_count,chunk_parts,full_actual_time,full_pred_time,chunk_actual_time,chunk_pred_time,mean_chunk_actual_relative_error,mean_chunk_pred_relative_error,mean_full_pred_relative_error,chunk_actual_abs_error,chunk_pred_abs_error,full_pred_abs_error,chunk_actual_mape,chunk_pred_mape,full_pred_mape,chunk_actual_accuracy,chunk_pred_accuracy,full_pred_accuracy
audio,100,3,11,2343,11776.477,5009.262691497803,17664.309999999998,20707.07852578163,0.5250131380539861,0.8412050413606286,0.5692567115526089,5887.832999999997,8930.60152578163,6767.214308502198,49.99655669518139,75.8342374020824,57.463826478005245,50.00344330481861,24.165762597917606,42.536173521994755
audio,200,3,11,1177,11776.477,5009.262691497803,14963.079000000002,12477.504544496536,0.280084175698508,0.12722440449952813,0.5692567115526089,3186.6020000000008,701.0275444965355,6767.214308502198,27.059043209611843,5.952778105850633,57.463826478005245,72.94095679038816,94.04722189414937,42.536173521994755
audio,500,3,11,473,11776.477,5009.262691497803,13401.372,8180.896830797195,0.1417694829957015,0.2879200736711638,0.5692567115526089,1624.8949999999986,3595.5801692028053,6767.214308502198,13.79780217801978,30.531882915432224,57.463826478005245,86.20219782198022,69.46811708456778,42.536173521994755
audio,1000,3,11,242,11776.477,5009.262691497803,12898.982,5743.690192937851,0.09445216487602508,0.49734539914537085,0.5692567115526089,1122.5049999999992,6032.78680706215,6767.214308502198,9.531755549643574,51.22743250856898,57.463826478005245,90.46824445035642,48.77256749143102,42.536173521994755
image,100,3,23,12098,340.44599999999997,391.72983372211456,22884.234,18852.15189896524,75.5681109803266,66.9550082938461,0.112993623255635,22543.788,18511.70589896524,51.28383372211459,6621.839586894839,5437.486678934469,15.063720449679128,-6521.839586894839,-5337.486678934469,84.93627955032088
image,200,3,23,6049,340.44599999999997,391.72983372211456,13924.289,11111.809723258018,42.08931847079216,35.97819848461369,0.112993623255635,13583.843,10771.363723258019,51.28383372211459,3990.013981659353,3163.8978643479495,15.063720449679128,-3890.013981659353,-3063.8978643479495,84.93627955032088
image,500,3,23,2438,340.44599999999997,391.72983372211456,7057.963,5624.281582951546,19.16541870353781,16.104289860424405,0.112993623255635,6717.517,5283.835582951546,51.28383372211459,1973.151982987023,1552.0333864846543,15.063720449679128,-1873.151982987023,-1452.0333864846543,84.93627955032088
image,1000,3,23,1219,340.44599999999997,391.72983372211456,4275.065,3400.7788962870836,11.130821621266598,9.280958366927122,0.112993623255635,3934.6189999999997,3060.3328962870837,51.28383372211459,1155.724843293797,898.9187407950407,15.063720449679128,-1055.724843293797,-798.9187407950407,84.93627955032088
text,100,3,59,5900,145.183,260.5447690486908,10414.147,11485.92684340477,70.29823410054304,78.91295552063637,0.8171730571420639,10268.964,11340.743843404769,115.3617690486908,7073.1173760013235,7811.344195535819,79.45955728197572,-6973.1173760013235,-7711.344195535819,20.54044271802428
text,200,3,59,2950,145.183,260.5447690486908,5397.784,6177.083315849304,36.152442725710536,42.03341340610256,0.8171730571420639,5252.601,6031.900315849304,115.3617690486908,3617.917387021897,4154.687749839379,79.45955728197572,-3517.917387021897,-4054.6877498393787,20.54044271802428
text,500,3,59,1180,145.183,260.5447690486908,2195.348,2627.0690104961395,14.131007892477236,17.326107702642393,0.8171730571420639,2050.165,2481.8860104961395,115.3617690486908,1412.1246977951964,1709.4880326871187,79.45955728197572,-1312.1246977951964,-1609.4880326871187,20.54044271802428
text,1000,3,59,590,145.183,260.5447690486908,1106.795,1390.6635990142822,6.631347083945435,8.700428301479723,0.8171730571420639,961.6120000000001,1245.4805990142822,115.3617690486908,662.3447648829409,857.8694468458995,79.45955728197572,-562.3447648829409,-757.8694468458995,20.54044271802428
