ds_type,pipeline_base_name,pipeline_category,chunk_size,full_pipeline_name,full_scale_token,chunk_parts,operator_count,full_actual_time,full_pred_time,chunk_actual_time,chunk_pred_time,chunk_actual_abs_error,chunk_pred_abs_error,full_pred_abs_error,chunk_actual_relative_error,chunk_pred_relative_error,full_pred_relative_error,chunk_actual_accuracy,chunk_pred_accuracy,full_pred_accuracy
audio,audio_pipeline_1781071552218,mixed,100,audio_pipeline_1781071552218_8G,8G,852,4,3864.232,2864.1639103889465,6110.418,12323.453128099442,2246.1859999999997,8459.221128099442,1000.0680896110534,0.58127617596459,2.189107985260575,0.2588012545859186,41.872382403540996,-118.91079852605748,74.11987454140814
audio,audio_pipeline_1781071552218,mixed,200,audio_pipeline_1781071552218_8G,8G,428,4,3864.232,2864.1639103889465,5090.098000000001,6629.220991373062,1225.866000000001,2764.988991373062,1000.0680896110534,0.31723405841057184,0.7155338994586925,0.2588012545859186,68.27659415894281,28.446610054130744,74.11987454140814
audio,audio_pipeline_1781071552218,mixed,500,audio_pipeline_1781071552218_8G,8G,172,4,3864.232,2864.1639103889465,4430.54,4556.195298433304,566.308,691.9632984333039,1000.0680896110534,0.14655124226495717,0.17906877703856908,0.2588012545859186,85.34487577350428,82.0931222961431,74.11987454140814
audio,audio_pipeline_1781071552218,mixed,1000,audio_pipeline_1781071552218_8G,8G,88,4,3864.232,2864.1639103889465,4286.598,3912.6100087165833,422.366,48.37800871658328,1000.0680896110534,0.10930140840405027,0.012519436906630679,0.2588012545859186,89.06985915959497,98.74805630933693,74.11987454140814
audio,audio_pipeline_1781071552228,filter-heavy,100,audio_pipeline_1781071552228_8G,8G,852,4,2892.0310000000004,2154.3344960212708,4722.846,11519.163132429123,1830.8149999999991,8627.132132429122,737.6965039787297,0.6330551090219984,2.983070420901132,0.25507904444272195,36.694489097800165,-198.30704209011316,74.4920955557278
audio,audio_pipeline_1781071552228,filter-heavy,200,audio_pipeline_1781071552228_8G,8G,428,4,2892.0310000000004,2154.3344960212708,3795.616,6055.419432401657,903.5849999999996,3163.3884324016567,737.6965039787297,0.3124395969476121,1.0938293650384994,0.25507904444272195,68.7560403052388,-9.382936503849933,74.4920955557278
audio,audio_pipeline_1781071552228,filter-heavy,500,audio_pipeline_1781071552228_8G,8G,172,4,2892.0310000000004,2154.3344960212708,3355.197,3781.8568563461304,463.1659999999997,889.82585634613,737.6965039787297,0.1601525018231131,0.3076819910803618,0.25507904444272195,83.9847498176887,69.23180089196381,74.4920955557278
audio,audio_pipeline_1781071552228,filter-heavy,1000,audio_pipeline_1781071552228_8G,8G,88,4,2892.0310000000004,2154.3344960212708,3128.014,3086.731211423874,235.98299999999972,194.7002114238735,737.6965039787297,0.08159767305398859,0.06732300290829299,0.25507904444272195,91.84023269460114,93.2676997091707,74.4920955557278
audio,audio_pipeline_1781071552263,mapper-heavy,100,audio_pipeline_1781071552263_8G,8G,639,3,5020.214,3803.9963207244873,6831.046,12748.696325778961,1810.8320000000003,7728.482325778961,1216.2176792755126,0.3607081291753699,1.5394726849849352,0.24226411050913618,63.92918708246301,-53.947268498493514,75.77358894908639
audio,audio_pipeline_1781071552263,mapper-heavy,200,audio_pipeline_1781071552263_8G,8G,321,3,5020.214,3803.9963207244873,6077.365,8077.133493423462,1057.1509999999998,3056.919493423462,1216.2176792755126,0.21057887173734025,0.608922148223853,0.24226411050913618,78.94211282626597,39.107785177614694,75.77358894908639
audio,audio_pipeline_1781071552263,mapper-heavy,500,audio_pipeline_1781071552263_8G,8G,129,3,5020.214,3803.9963207244873,5615.635,5658.3594217300415,595.4210000000003,638.1454217300416,1216.2176792755126,0.11860470489903424,0.12711518308383699,0.24226411050913618,88.13952951009658,87.2884816916163,75.77358894908639
audio,audio_pipeline_1781071552263,mapper-heavy,1000,audio_pipeline_1781071552263_8G,8G,66,3,5020.214,3803.9963207244873,5484.370000000001,4905.718065738678,464.15600000000086,114.49593426132196,1216.2176792755126,0.09245741317003635,0.022806982782272223,0.24226411050913618,90.75425868299637,97.71930172177278,75.77358894908639
image,image_pipeline_1781071560242,mapper-heavy,100,image_pipeline_1781071560242_8G,8G,3682,7,202.44,171.0279884338379,10660.338,10337.297515153885,10457.898,10134.857515153884,31.412011566162107,51.65924718435092,50.063512720578366,0.1551670201845589,-5065.924718435092,-4906.3512720578365,84.48329798154411
image,image_pipeline_1781071560242,mapper-heavy,200,image_pipeline_1781071560242_8G,8G,1841,7,202.44,171.0279884338379,7503.132,6732.131749868393,7300.692,6529.691749868393,31.412011566162107,36.063485477178425,32.25494837911674,0.1551670201845589,-3506.3485477178424,-3125.494837911674,84.48329798154411
image,image_pipeline_1781071560242,mapper-heavy,500,image_pipeline_1781071560242_8G,8G,742,7,202.44,171.0279884338379,4349.705,3871.721472978592,4147.265,3669.281472978592,31.412011566162107,20.486391029440824,18.125278961561904,0.1551670201845589,-1948.6391029440824,-1712.5278961561903,84.48329798154411
image,image_pipeline_1781071560242,mapper-heavy,1000,image_pipeline_1781071560242_8G,8G,371,7,202.44,171.0279884338379,2657.973,2187.064123392105,2455.533,1984.624123392105,31.412011566162107,12.129682868998222,9.803517701008225,0.1551670201845589,-1112.9682868998223,-880.3517701008225,84.48329798154411
image,image_pipeline_1781071560252,mixed,100,image_pipeline_1781071560252_8G,8G,4208,8,82.44,76.02034497261047,7320.0509999999995,6991.426427125931,7237.611,6908.986427125931,6.419655027389524,87.7924672489083,83.8062400185096,0.07787063352000878,-8679.246724890829,-8280.62400185096,92.21293664799913
image,image_pipeline_1781071560252,mixed,200,image_pipeline_1781071560252_8G,8G,2104,8,82.44,76.02034497261047,3980.96,3418.0262109041214,3898.52,3335.5862109041213,6.419655027389524,47.289180009704026,40.46077402843427,0.07787063352000878,-4628.918000970402,-3946.077402843427,92.21293664799913
image,image_pipeline_1781071560252,mixed,500,image_pipeline_1781071560252_8G,8G,848,8,82.44,76.02034497261047,1658.481,1466.3338969945908,1576.041,1383.8938969945907,6.419655027389524,19.117430858806404,16.78667997324831,0.07787063352000878,-1811.7430858806404,-1578.667997324831,92.21293664799913
image,image_pipeline_1781071560252,mixed,1000,image_pipeline_1781071560252_8G,8G,424,8,82.44,76.02034497261047,995.367,849.0208775997162,912.9269999999999,766.5808775997161,6.419655027389524,11.073835516739447,9.298652081510385,0.07787063352000878,-1007.3835516739446,-829.8652081510385,92.21293664799913
image,image_pipeline_1781071560263,filter-heavy,100,image_pipeline_1781071560263_8G,8G,4208,8,55.565999999999995,50.87548470497131,4903.845,5597.105415821075,4848.279,5541.539415821076,4.690515295028682,87.25261850772057,99.72896044021661,0.0844134055902653,-8625.261850772056,-9872.896044021662,91.55865944097347
image,image_pipeline_1781071560263,filter-heavy,200,image_pipeline_1781071560263_8G,8G,2104,8,55.565999999999995,50.87548470497131,2440.197,2644.8502613306046,2384.6310000000003,2589.2842613306047,4.690515295028682,42.915289925494015,46.59835621298285,0.0844134055902653,-4191.528992549402,-4559.835621298285,91.55865944097347
image,image_pipeline_1781071560263,filter-heavy,500,image_pipeline_1781071560263_8G,8G,848,8,55.565999999999995,50.87548470497131,1049.777,1106.3252543210983,994.211,1050.7592543210983,4.690515295028682,17.892434222366198,18.910111476822127,0.0844134055902653,-1689.2434222366198,-1791.0111476822128,91.55865944097347
image,image_pipeline_1781071560263,filter-heavy,1000,image_pipeline_1781071560263_8G,8G,424,8,55.565999999999995,50.87548470497131,621.725,666.5759860277176,566.159,611.0099860277176,4.690515295028682,10.188946478062125,10.9961124793528,0.0844134055902653,-918.8946478062124,-999.6112479352798,91.55865944097347
text,text_pipeline_1781071569367,mapper-heavy,100,text_pipeline_1781071569367_10000,10000,1600,16,38.453,41.66830849647522,2809.3830000000003,3276.778665781021,2770.9300000000003,3238.325665781021,3.2153084964752168,72.06017735937378,84.21516307650953,0.083616583789957,-7106.017735937378,-8321.516307650953,91.6383416210043
text,text_pipeline_1781071569367,mapper-heavy,200,text_pipeline_1781071569367_10000,10000,800,16,38.453,41.66830849647522,1540.504,1739.6626589298248,1502.051,1701.2096589298249,3.2153084964752168,39.06199776350349,44.24127269471367,0.083616583789957,-3806.199776350349,-4324.127269471367,91.6383416210043
text,text_pipeline_1781071569367,mapper-heavy,500,text_pipeline_1781071569367_10000,10000,320,16,38.453,41.66830849647522,632.426,734.6768786907196,593.9730000000001,696.2238786907196,3.2153084964752168,15.446727173432503,18.105840342514746,0.083616583789957,-1444.6727173432503,-1710.5840342514746,91.6383416210043
text,text_pipeline_1781071569367,mapper-heavy,1000,text_pipeline_1781071569367_10000,10000,160,16,38.453,41.66830849647522,317.589,372.8424379825592,279.13599999999997,334.38943798255923,3.2153084964752168,7.259147530751825,8.696055911958995,0.083616583789957,-625.9147530751825,-769.6055911958995,91.6383416210043
