ds_type,pipeline_base_name,pipeline_category,operator_index,operator_name,full_pipeline_name,full_scale_token,full_scale_value,full_actual_time,full_pred_time
audio,audio_pipeline_1781071552218,mixed,1,audio_size_filter,audio_pipeline_1781071552218_8G,8G,8192.0,5.615,6.433547019958496
audio,audio_pipeline_1781071552218,mixed,2,audio_nmf_snr_filter,audio_pipeline_1781071552218_8G,8G,8192.0,3812.413,1481.017822265625
audio,audio_pipeline_1781071552218,mixed,3,audio_duration_filter,audio_pipeline_1781071552218_8G,8G,8192.0,12.473,13.215689659118652
audio,audio_pipeline_1781071552218,mixed,4,audio_add_gaussian_noise_mapper,audio_pipeline_1781071552218_8G,8G,8192.0,33.731,28.153209686279297
audio,audio_pipeline_1781071552228,filter-heavy,1,audio_size_filter,audio_pipeline_1781071552228_8G,8G,8192.0,4.914,6.712536811828613
audio,audio_pipeline_1781071552228,filter-heavy,2,audio_nmf_snr_filter,audio_pipeline_1781071552228_8G,8G,8192.0,2821.116,1328.2833251953125
audio,audio_pipeline_1781071552228,filter-heavy,3,audio_duration_filter,audio_pipeline_1781071552228_8G,8G,8192.0,11.102,13.447773933410645
audio,audio_pipeline_1781071552228,filter-heavy,4,audio_ffmpeg_wrapped_mapper,audio_pipeline_1781071552228_8G,8G,8192.0,54.899,38.555145263671875
audio,audio_pipeline_1781071552263,mapper-heavy,1,audio_nmf_snr_filter,audio_pipeline_1781071552263_8G,8G,8192.0,4726.252,1928.8922119140625
audio,audio_pipeline_1781071552263,mapper-heavy,2,audio_duration_filter,audio_pipeline_1781071552263_8G,8G,8192.0,31.131,32.362403869628906
audio,audio_pipeline_1781071552263,mapper-heavy,3,audio_ffmpeg_wrapped_mapper,audio_pipeline_1781071552263_8G,8G,8192.0,262.831,132.18902587890625
image,image_pipeline_1781071560242,mapper-heavy,1,image_deduplicator,image_pipeline_1781071560242_8G,8G,8192.0,39.064,27.368894577026367
